player_name,position,source_season,check_season,source_pff_player_id,grades_offense,grades_run_block,grades_pass_block,grades_pass,grades_run_rb,grades_pass_route
Aidan Johnson,OL,2025,2024,176114,80.3,79.1,,,,
Bo Blanchard,OL,2025,2024,156550,60,60,,,,
Cal Grubbs,OL,2025,2024,174932,76.6,74,60.6,,,
Cooper Lovelace,OL,2025,2024,158460,61.4,67.3,55.2,,,
George Silva,OL,2025,2024,174129,51.7,55.1,25,,,
Isaac Rue,OL,2025,2024,170489,49.2,44,58.1,,,
Jack Hasz,OL,2025,2024,145666,62.7,59.6,78.2,,,
Jakiah Leftwich,OL,2025,2024,143921,61.6,60.9,58.5,,,
Kyndall McKenzie,OL,2025,2024,162527,68.3,67.8,,,,
Mathyus Su'a,OL,2025,2024,134899,67.2,67.5,69.8,,,
Ni Mansell,OL,2025,2024,129559,54.7,54.5,67,,,
Paul Tchio,OL,2025,2024,122160,59.7,60,33.5,,,
David Lynch,QB,2025,2024,170120,39.6,60,,40,56.3,
Emmett Brown,QB,2025,2024,157344,71.5,60,,69.9,66.1,54.6
Grady Brosterhous,QB,2025,2024,156379,76.4,60,,,70.1,
Kasen Weisman,QB,2025,2024,171910,57.7,60,,59.2,55.8,
